,tag,patterns,responses
21,not-talking,"[""I don't want to talk about it."", 'No just stay away.', ""I can't bring myself to open up."", 'Just shut up']","[""Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."", ""I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."", ""I'm here to listen to you and help you vent. So please talk to me."", 'You can talk to me without fear of judgement.']"
22,sleep,"['I have insominia', 'I am suffering from insomnia', ""I can't sleep."", ""I haven't slept for the last days."", ""I can't seem to go to sleep."", ""I haven't had proper sleep for the past few days.""]","['What do you think is the reason behind this?', 'That seem awful. What do you think is behind this?']"
23,scared,"[""I'm scared"", 'That sounds awful. What do i do?', ""No i don't want to feel this way"", 'I am scared for myself']","[""It's only natural to feel this way. I'm here for you."", ""It'll all be okay. This feeling is only momentary."", ""I understand how you feel. Don't put yourself down because of it.""]"
24,death,"['My mom died', 'My brother died', 'My dad passed away', 'My sister passed away', 'Someone in my family died', 'My friend passed away']","[""I'm sorry to hear that. If you want to talk about it. I'm here."", 'I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time.', ""My condolences. I'm here if you need to talk.""]"
25,understand,"[""You don't understand me."", ""You're just some robot. How would you know?"", ""You can't possibly know what i'm going through"", ""You're useless"", ""You can't help me"", 'Nobody understands me.']","[""It sound like i'm not being very helpful right now."", ""I'm sorry to hear that. I'm doing my best to help"", ""I'm trying my best to help you. So please talk to me""]"
26,done,"[""That's all."", ""I don't have anything more to say"", 'Nothing else', ""That's all i have to say"", 'no, that would be all']","['I heard you & noted it all. See you later.', ""Oh okay we're done for today then. See you later"", 'I hope you have a great day. See you soon', ""Okay we're done. Have a great day"", 'Okay I see. Enjoy the rest of your day then']"
27,suicide,"['I want to kill myself', ""I've thought about killing myself."", 'I want to die', 'I am going to kill myself', 'I am going to commit suicide']","[""I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.""]"
28,hate-you,"['I hate you', ""I don't like you"", ""I don't trust you""]","[""I'm sorry if i offended you in anyway. I'm only here to help"", 'Forgive me if i did anything to offend you. I only want to help']"
29,hate-me,"['You hate me', 'I know you hate me', ""You don't like me""]","['Why do you think so?', ""I'm sorry if i have exhibited any sort of behaviour to make you think that.""]"
30,default,"['exams', 'friends', 'relationship', 'boyfriend', 'girlfriend', 'family', 'money', 'financial problems']","['Oh I see. Tell me more', 'I see. What else?', 'Tell me more about it.', ""Oh okay. Why don't you tell me more about it?"", ""I'm listening. Tell me more.""]"
31,jokes,"['Tell me a joke', 'Tell me another joke']",['mental health is not a joke.']
32,repeat,"['You already told me that', 'You mentioned that already', 'Why are you repeating yourself?']","[""Oh sorry I didn't realise that. I'll try not to repeat myself again.""]"
33,wrong,"['What are you saying?', ""That doesn't make sense"", 'Wrong response', 'Wrong answer']","[""I'm very sorry. Let's try that again""]"
34,stupid,"['Are you stupid?', ""You're crazy"", 'You are dumb', 'Are you dumb?']","[""I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful""]"
35,location,"['Where are you?', 'Where do you live?', 'What is your location?']","['Duh I live in your computer', 'Everywhere', 'Somewhere in the universe']"
36,something-else,"['I want to talk about something else', ""Let's talk about something else."", 'Can we not talk about this?', ""I don't want to talk about this.""]","['Okay sure. What do you want to talk about?', 'Alright no problem. Is there something you want to talk about?', 'Is there something else that you want to talk about?']"
37,friends,"[""I don't have any friends""]","[""I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?""]"
38,ask,['Can I ask you something?'],"[""Sure. I'll try my best to answer you"", ""Of course. Feel free to ask me anything. I'll do my best to answer you""]"
39,problem,"[""Probably because my exams are approaching. I feel stressed out because I don't think I've prepared well enough."", 'probably because of my exams']",['I see. Have you taken any approaches to not feel this way?']
40,no-approach,"['I guess not. All I can think about are my exams.', 'not really', 'i guess not']","[""That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?""]"
41,learn-more,"['ok sure. i would like to learn more about it.', 'yes, i would like to learn more about it.', 'i would like to learn more about it.']","[""So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.""]"
42,user-agree,"[""yeah you're right. i deserve a break."", ""Yeah you're absolutely right about that""]","['Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.']"
43,meditation,"['hmmm that sounds like it could be useful to me.', 'That sounds useful.']","['Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.']"
44,user-meditation,"['i did what you said and i feel alot better. thank you very much.', 'I feel better now']","[""Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.""]"
45,pandora-useful,"[""thank you very much again. i'll continue practicing meditation and focus on what i can control.""]","[""I'm glad you found this useful. Is there something else I can help you with?""]"
46,user-advice,"['I want some advice.', 'I need some advice.', 'I need advice on something']","['Sure. What can I do to help?', 'Okay what do you need advice on?']"
47,learn-mental-health,"['I want to learn about mental health.', 'I want to learn more about mental health.', ""I'm interested in learning about mental health.""]","[""Oh that's really great. I'd be willing to answer anything that I know about it.""]"
48,mental-health-fact,"['Tell me a fact about mental health?', 'What are some facts about mental health?', 'Tell me a story about mental health?', 'Tell me a fact about mental health.', 'What is mental health?', 'Tell me another fact about mental health?', 'What are some facts about mental health?', 'Tell me another thing about mental health?', 'What is a fact about mental health?', 'Tell me another fact about mental health.']","['According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed', '1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.', 'Depression is the leading cause of disability worldwide.']"
49,fact-1,"['What does mental health mean?', 'What is a mental health?', ""What's mental health?"", 'What is mental health and why?', 'What is the best way to define mental health?', 'How do I define mental health?', 'How should I define mental health?', 'What is the best way to improve mental health?', 'How can I define mental health?']","['Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community', 'Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices.']"
50,fact-2,"['What is the importance of mental health?', 'Is mental health important?', 'How important is mental health?', 'What is mental health?', 'How important is mental health?', 'What are the importance of mental health?', 'Is mental health important?', 'Why is mental health important?']","['Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.']"
51,fact-3,"['What is a depression?', 'What is depression?', 'What is a Depression?', ""What's a depression?"", 'What is the meaning of depression?', 'How do you define a depression?', 'How do you define depression?', 'What is the definition of depression?', 'How do I define depression?', 'How do you define a Depression?']","['A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.']"
52,fact-5,"['How do I know if I have depression?', 'How do you know if you have depression?', 'How can I know if I have depression?', 'How can you tell if you have depression?', 'How do I know if I have depression or not?', 'Am I depressed?', 'How do I get depressed?', 'Why am I depressed?', 'Is it depressed?', 'Am I suffering from depression?', 'What is the best way to deal with depression?', 'How can I cope with depression?', 'Is it possible to suffer from depression?', 'Is depression a good thing?', 'Am I mentally ill?', 'Is it possible to be mentally ill?', 'How can I become mentally ill?', 'Is it mentally ill?']","['For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.']"
53,fact-6,"['What is therapist?', 'What are therapists?', 'What does a therapist do?', 'What is a therapist like?', 'What do therapists do?', 'What is a therapist doing?', 'How does a therapist work?', 'How do therapists work?']","['A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ']"
54,fact-7,"['What is a therapy?', ""What's therapy?"", 'What does therapy mean?', 'What is therapy and why?', 'Do I need therapy?', 'Is there any need for therapy?', 'Do you need therapy?', 'Do we need therapy?', 'Do I need treatment?', 'What is therapy for?', 'Who is the therapy for?', 'Who is therapy?', 'Who is a therapy?']","['Therapy is a form of treatment that aims to help resolve mental or emotional issues.', 'Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.']"
55,fact-8,"['What does it mean to have mental illness?', 'What does mental illness mean?', 'What is it like to have mental illness?', 'What is a mental illness?', 'What is mental illness?']","[""Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful.""]"
56,fact-9,"['What does mental illness affect?', 'How does mental illness affect you?', 'How does mental illness affect?', 'What is mental illness?', 'How does mental illness affect people?']","['It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).']"
57,fact-10,"['What are the causes of mental illness?', 'What is the cause of mental illness?', 'What causes a mental illness?', 'What are some of the causes of mental illness?']","[""It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).""]"
58,fact-11,"['What are the signs of mental illness?', 'What are the warning signs of mental illness?', 'What are some signs of mental illness?', 'What are some of the signs of mental illness?', 'What are signs of mental illness?']","['Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. \n In adults:\n Confused thinking\n Long-lasting sadness or irritability\n Extreme highs and lows in mood\n Excessive fear, worrying, or anxiety\n Social withdrawal\n Dramatic changes in eating or sleeping habits\n Strong feelings of anger\n Delusions or hallucinations (seeing or hearing things that are not really there)\n Increasing inability to cope with daily problems and activities\n Thoughts of suicide\n Denial of obvious problems\n Many unexplained physical problems\n Abuse of drugs and/or alcohol\n \nIn older children and pre-teens:\n Abuse of drugs and/or alcohol\n Inability to cope with daily problems and activities\n Changes in sleeping and/or eating habits\n Excessive complaints of physical problems\n Defying authority, skipping school, stealing, or damaging property\n Intense fear of gaining weight\n Long-lasting negative mood, often along with poor appetite and thoughts of death\n Frequent outbursts of anger\n \nIn younger children:\n Changes in school performance\n Poor grades despite strong efforts\n Excessive worrying or anxiety\n Hyperactivity\n Persistent nightmares\n Persistent disobedience and/or aggressive behavior\n Frequent temper tantrums']"
59,fact-12,"['How can I recover from mental illness?', 'Is it possible to recover from mental illness?', 'Can someone with mental illness recover?', 'How can someone with mental illness recover?', 'How can someone with mental illness recover from it?']","['When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.']"
60,fact-13,"['What should I do if I know someone who has mental disorder?', 'What should I do if I know someone who has mental disorders?', 'What should I do if I know someone who appears to have mental disorder?', 'What should I do if I know someone with mental disorder?', 'What should I do if I know someone who appears to have mental disorders?']","[""Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.""]"
61,fact-14,"['How do I find a mental health professional?', 'How can I find a mental health professional?', 'How do I find a mental health professional for my child?', 'How can I find a mental health professional for my child?', 'What is the best way to find a mental health professional?']",['Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.']
62,fact-15,"['What are the treatment options available?', 'What are the treatment options?', 'What are some treatment options?', 'What are treatment options?']","['Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.']"
63,fact-16,"['If I become involved in treatment what do I need to know?', 'What do I need to know if I become involved in treatment?', 'What should I know if I become involved in treatment?', 'What do you need to know if you become involved in treatment?']","[""Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include:\n What is known about the cause of this particular illness?\n Are there other diagnoses where these symptoms are common?\n Do you normally include a physical or neurological examination?\n Are there any additional tests or exams that you would recommend at this point?\n Would you advise an independent opinion from another psychiatrist at this point?\n What program of treatment is the most helpful with this diagnosis?\n Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?\n What do you see as the family's role in this program of treatment?\n How much access will the family have to the individuals who are providing the treatment?\n What medications are generally used with this diagnosis?\n How much experience do you have in treating individuals with this illness?\n What can I do to help you in the treatment?""]"
64,fact-17,"[""What's the difference between mental health professionals?"", 'What is the difference between a mental health professional?', ""What's the difference between a mental health professional?"", ""What's the difference between mental health professionals and a psychiatrist?""]","['There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.']"
65,fact-18,"['How do I find a mental health professional for my child?', 'How can I find a mental health professional for my child?', 'How do I find a mental health professional?', 'What is the best way to find a mental health professional?', 'How can I find a mental health professional?']",['Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.']
66,fact-19,"['Where can I get help?', 'Where can I get assistance?', 'How do I get help?', 'How can I get help?', 'Where can I find help?']","['Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout the country that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.']"
67,fact-20,"['What should I know before starting a medication?', 'What should I know before starting medication?', 'What should I know to start a new medication?', 'What should I know before starting my new medication?']","['The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as:    \n1. What is the medication supposed to do? \n2. When should it begin to take effect, and how will I know when it is effective? \n3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? \n4. What are the side effects and what should be done if they occur? \n5. What do I do if a dose is missed? \n6. Is there any written information available about this medication? \n7. Are there other medications that might be appropriate? \n8. If so, why do you prefer the one you have chosen? \n9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? \n10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.']"
68,fact-21,"['Where can I find therapy?', 'Where can I go for therapy?', 'How do I find therapy?', 'Where can I get therapy?']","['Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in childrenâ€™s mental health). However, there are several different types of treatment and therapy that can help.']"
69,fact-22,"['Where can I learn about mental health treatment?', 'How can I learn about mental health treatment?', 'How do I learn about mental health treatment?', 'Where can I learn about mental health?', 'How can I learn about mental health?']","['Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.']"
70,fact-23,"['What are the types of mental health professionals?', 'What are different types of mental health professionals?', 'What are the various types of mental health professionals?', 'What are the different kinds of mental health professionals?']",['There are many types of mental health professionals. Finding the right one for you may require some research.']
71,fact-24,"['Where can I find a support group?', 'How do I find a support group?', 'How can I find a support group?', 'Where can I find support groups?']","['Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.']"
72,fact-25,"['How can I prevent mental health problems?', 'How do I prevent mental health problems?', 'How can I prevent mental health issues?', 'How do you prevent mental health problems?', 'What is the best way to prevent mental illness?']","['We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.']"
73,fact-26,"['Is there any cure for mental health problems?', 'Are there any cures for mental health problems?', 'Are there any cures for mental health issues?', 'Is there any cure for mental health issues?', 'What are the cures for mental health problems?', 'Is there any cure for mental health problems?', 'Is there a cure for mental health problems?', 'Is there any cure for mental health issues?', 'What is the best cure for mental health problems?', 'What is the cure for mental health problems?']","['It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.']"
74,fact-27,"['What causes mental health issues?', 'What are some mental health problems?', 'What are some mental health issues?', 'What are the causes of mental illness?']","['Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.']"
75,fact-28,"[""What should I do if I'm worried about my mental health?"", 'What should I do if I am worried about my mental health?', ""What can I do if I'm worried about my mental health?"", ""What should I do when I'm worried about my mental health?"", ""What should I do if I'm worried about mental health?""]","['The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help.']"
76,fact-29,"[""How can I know if I'm unwell?"", ""How do you know if you're unwell?"", 'How do you know if you are unwell?', 'How do I know if I am unwell?']","['If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.']"
77,fact-30,"['How do I maintain social connections?', 'How do I maintain social relationships?', 'How do I keep social connections?', 'How can I keep social connections?']","[""A lot of people are alone right now, but we don't have to be lonely. We're all in this together. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesn't build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies don't help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at times. Maybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs aren't met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so don't be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone.""]"
78,fact-31,"['What is the difference between anxiety and stress?', 'What is the difference between stress and anxiety?', ""What's the difference between stress and anxiety?"", 'What are the differences between anxiety and stress?']","[""Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same fight, flight, or freeze response as anxiety, and the physical sensations of anxiety and stress may be very similar. The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that we're finding hard to cope with. When we are stressed, we usually know what we're stressed about, and the symptoms of stress typically disappear after the stressful situation is over. Anxiety, on the other hand, isn't always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life.""]"
79,fact-32,"['What is the difference between depression and sadness?', 'What is the difference between sadness and depression?', ""What's the difference between depression and sadness?"", 'What is difference between depression and sadness?', 'What is the difference between depression and sadness?', 'What is the difference between sadness and depression?', 'Difference between depression and sadness?', 'Difference between sadness and depression?', 'What is difference between depression and sadness?']","[""Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression.""]"
